unique_id,ds,y,y_hat_naive2
D1,1972-10-03,2039.2,2029.0983307114734
D1,1972-10-04,2035.0,2027.54673615855
D1,1972-10-05,2051.8,2027.6773299677736
D1,1972-10-06,2061.8,2027.2897784122924
D1,1972-10-07,2063.5,2027.1262401673794
D1,1972-10-08,2069.5,2028.7350198856352
D1,1972-10-09,2054.0,2029.7
D1,1972-10-10,2057.0,2029.0983307114734
D1,1972-10-11,2062.8,2027.54673615855
D1,1972-10-12,2066.4,2027.6773299677736
D1,1972-10-13,2067.4,2027.2897784122924
D1,1972-10-14,2071.4,2027.1262401673794
D1,1972-10-15,2083.8,2028.7350198856352
D1,1972-10-16,2080.6,2029.7
D10,1971-11-06,2618.0,2618.203200302585
D10,1971-11-07,2638.6,2620.407829609808
D10,1971-11-08,2648.7,2622.1283942455966
D10,1971-11-09,2656.2,2624.309082672221
D10,1971-11-10,2636.2,2623.85366584232
D10,1971-11-11,2644.2,2621.791863892374
D10,1971-11-12,2672.3,2620.1
D10,1971-11-13,2688.8,2618.203200302585
D10,1971-11-14,2675.3,2620.407829609808
D10,1971-11-15,2672.3,2622.1283942455966
D10,1971-11-16,2623.6,2624.309082672221
D10,1971-11-17,2626.8,2623.85366584232
D10,1971-11-18,2641.7,2621.791863892374
D10,1971-11-19,2589.8,2620.1
D100,1972-10-03,922.67,928.6993561479975
D100,1972-10-04,919.06,930.7714369429289
D100,1972-10-05,921.1,923.371587104262
D100,1972-10-06,920.03,923.4659515512751
D100,1972-10-07,911.36,924.6007544994096
D100,1972-10-08,918.53,925.2019766456185
D100,1972-10-09,913.48,927.38
D100,1972-10-10,927.02,928.6993561479975
D100,1972-10-11,926.92,930.7714369429289
D100,1972-10-12,930.38,923.371587104262
D100,1972-10-13,935.27,923.4659515512751
D100,1972-10-14,928.65,924.6007544994096
D100,1972-10-15,918.45,925.2019766456185
D100,1972-10-16,911.93,927.38
D1000,1972-11-18,1648.9,1658.1812023022433
D1000,1972-11-19,1621.11,1658.8784579362764
D1000,1972-11-20,1645.47,1655.5343585318208
D1000,1972-11-21,1629.8,1657.941422129749
D1000,1972-11-22,1659.74,1654.328083548134
D1000,1972-11-23,1668.44,1658.5869244410922
D1000,1972-11-24,1700.29,1660.4400000000003
D1000,1972-11-25,1691.09,1658.1812023022433
D1000,1972-11-26,1692.47,1658.8784579362764
D1000,1972-11-27,1688.36,1655.5343585318208
D1000,1972-11-28,1693.95,1657.941422129749
D1000,1972-11-29,1683.52,1654.328083548134
D1000,1972-11-30,1691.8,1658.5869244410922
D1000,1972-12-01,1710.58,1660.4400000000003
D1001,1972-11-18,1437.37,1448.3092708524252
D1001,1972-11-19,1415.98,1448.6649033053363
D1001,1972-11-20,1436.98,1445.921259542657
D1001,1972-11-21,1419.75,1447.555559954017
D1001,1972-11-22,1443.78,1444.8827391988402
D1001,1972-11-23,1448.22,1449.404839591174
D1001,1972-11-24,1470.03,1450.58
D1001,1972-11-25,1466.52,1448.3092708524252
D1001,1972-11-26,1468.37,1448.6649033053363
D1001,1972-11-27,1462.61,1445.921259542657
D1001,1972-11-28,1469.09,1447.555559954017
D1001,1972-11-29,1468.21,1444.8827391988402
D1001,1972-11-30,1467.91,1449.404839591174
D1001,1972-12-01,1475.58,1450.58
D1002,1972-11-18,1145.17,1133.39327813593
D1002,1972-11-19,1138.09,1134.0735645685468
D1002,1972-11-20,1135.43,1129.4646872025291
D1002,1972-11-21,1114.63,1129.5012477871269
D1002,1972-11-22,1112.55,1128.791600751496
D1002,1972-11-23,1090.25,1131.309905883504
D1002,1972-11-24,1054.81,1129.9
D1002,1972-11-25,1034.72,1133.39327813593
D1002,1972-11-26,1033.27,1134.0735645685468
D1002,1972-11-27,1051.63,1129.4646872025291
D1002,1972-11-28,1044.66,1129.5012477871269
D1002,1972-11-29,1054.66,1128.791600751496
D1002,1972-11-30,1055.34,1131.309905883504
D1002,1972-12-01,1057.24,1129.9
D1003,1972-11-18,1591.79,1600.7267573617921
D1003,1972-11-19,1564.96,1601.3587964990775
D1003,1972-11-20,1588.48,1598.132182573314
D1003,1972-11-21,1573.35,1600.5077472313737
D1003,1972-11-22,1602.25,1597.064160223647
D1003,1972-11-23,1610.66,1601.136258302243
D1003,1972-11-24,1641.4,1602.93
D1003,1972-11-25,1632.52,1600.7267573617921
D1003,1972-11-26,1633.85,1601.3587964990775
D1003,1972-11-27,1629.89,1598.132182573314
D1003,1972-11-28,1635.28,1600.5077472313737
D1003,1972-11-29,1625.21,1597.064160223647
D1003,1972-11-30,1633.2,1601.136258302243
D1003,1972-12-01,1651.33,1602.93
D1004,1981-02-27,2186.57,2201.3337557881678
D1004,1981-02-28,2155.47,2200.4821056649125
D1004,1981-03-01,2175.51,2198.9993036769756
D1004,1981-03-02,2156.6,2200.6275411712713
D1004,1981-03-03,2191.26,2199.251643116819
D1004,1981-03-04,2199.87,2202.6218557271463
D1004,1981-03-05,2242.56,2201.78
D1004,1981-03-06,2239.97,2201.3337557881678
D1004,1981-03-07,2233.85,2200.4821056649125
D1004,1981-03-08,2213.71,2198.9993036769756
D1004,1981-03-09,2227.12,2200.6275411712713
D1004,1981-03-10,2244.07,2199.251643116819
D1004,1981-03-11,2247.82,2202.6218557271463
D1004,1981-03-12,2265.12,2201.78
