unique_id,ds,y,y_hat_naive2
W1,2011-10-09,35397.16,35347.12788791209
W1,2011-10-16,35808.59,35476.266108567084
W1,2011-10-23,35808.59,35430.07807738054
W1,2011-10-30,36246.14,35790.65919833825
W1,2011-11-06,36246.14,35785.35420834972
W1,2011-11-13,36403.7,35895.237388521964
W1,2011-11-20,36403.7,35792.68796689991
W1,2011-11-27,36150.2,36002.67006540161
W1,2011-12-04,36150.2,35879.81966128496
W1,2011-12-11,35790.55,35638.50529505288
W1,2011-12-18,35790.55,35554.76768778191
W1,2011-12-25,34066.95,35078.9775624048
W1,2012-01-01,34066.95,35085.28682031188
W10,1987-11-29,5122.14,5095.522502176102
W10,1987-12-06,5104.68,5229.217952787067
W10,1987-12-13,5104.68,5249.194564288656
W10,1987-12-20,5104.68,5437.8864707969415
W10,1987-12-27,5565.7,5405.980678518662
W10,1988-01-03,5565.7,5385.218653496082
W10,1988-01-10,5565.7,5368.485124478321
W10,1988-01-17,5565.7,5430.144168721227
W10,1988-01-24,5565.7,5403.884331274301
W10,1988-01-31,5544.94,5317.239655090498
W10,1988-02-07,5544.94,5244.12884731775
W10,1988-02-14,5544.94,5315.157372217645
W10,1988-02-21,5544.94,5303.967129835783
W100,2013-10-06,11474.49,11322.54360843299
W100,2013-10-13,11875.5,11368.502320884218
W100,2013-10-20,11517.02,11336.36531272458
W100,2013-10-27,11305.8,11333.733352590698
W100,2013-11-03,11423.14,11328.416661962252
W100,2013-11-10,11647.5,11338.463608673304
W100,2013-11-17,11632.38,11300.712829179889
W100,2013-11-24,11729.89,11324.457598746016
W100,2013-12-01,11679.04,11239.822730053922
W100,2013-12-08,11740.51,11200.573024068857
W100,2013-12-15,11934.32,11240.311970347519
W100,2013-12-22,11741.1,11241.581908826682
W100,2013-12-29,11634.37,11194.472824505727
W101,1977-04-10,9871.498,9784.623
W101,1977-04-17,9910.685,9784.623
W101,1977-04-24,9815.305,9784.623
W101,1977-05-01,9808.647,9784.623
W101,1977-05-08,9900.756,9784.623
W101,1977-05-15,9934.128,9784.623
W101,1977-05-22,9974.544,9784.623
W101,1977-05-29,9905.89,9784.623
W101,1977-06-05,9965.28,9784.623
W101,1977-06-12,9989.549,9784.623
W101,1977-06-19,10064.652,9784.623
W101,1977-06-26,10007.292,9784.623
W101,1977-07-03,10082.468,9784.623
W102,2013-10-06,16004.79,15884.430007490057
W102,2013-10-13,15859.41,15966.522063421553
W102,2013-10-20,15729.3,15933.220832671517
W102,2013-10-27,15616.87,15977.252887863382
W102,2013-11-03,15749.81,15992.305608550014
W102,2013-11-10,15642.21,16121.806319984098
W102,2013-11-17,15716.89,16069.31192582794
W102,2013-11-24,15789.79,16136.722427912706
W102,2013-12-01,15961.13,16101.640884746632
W102,2013-12-08,15986.34,15964.692079514552
W102,2013-12-15,15871.65,15925.769384262807
W102,2013-12-22,15813.95,15828.189405567171
W102,2013-12-29,15743.94,15787.887944481903
W103,2013-10-06,4153.94,4094.199405517217
W103,2013-10-13,4375.42,4096.787519663666
W103,2013-10-20,4063.47,4108.758306336779
W103,2013-10-27,3975.35,4107.484292319962
W103,2013-11-03,4202.22,4112.1984287263185
W103,2013-11-10,4212.67,4091.06313908818
W103,2013-11-17,4171.08,4056.495715732433
W103,2013-11-24,4025.43,4045.707169563524
W103,2013-12-01,4260.1,4021.9744388957015
W103,2013-12-08,4159.33,4006.466898565306
W103,2013-12-15,4272.43,3974.6178723932435
W103,2013-12-22,3968.74,3992.9725534201325
W103,2013-12-29,3905.78,3984.6104823299925
W104,1977-04-10,1026.84,1029.99
W104,1977-04-17,1019.01,1029.99
W104,1977-04-24,1009.31,1029.99
W104,1977-05-01,1003.54,1029.99
W104,1977-05-08,1007.61,1029.99
W104,1977-05-15,1004.8,1029.99
W104,1977-05-22,998.68,1029.99
W104,1977-05-29,991.28,1029.99
W104,1977-06-05,991.98,1029.99
W104,1977-06-12,988.73,1029.99
W104,1977-06-19,979.2,1029.99
W104,1977-06-26,976.82,1029.99
W104,1977-07-03,968.28,1029.99
W105,2013-10-06,9135.8,9167.107062525663
W105,2013-10-13,9155.8,9177.087078797364
W105,2013-10-20,9123.07,9194.339844098427
W105,2013-10-27,9168.48,9191.09792285053
W105,2013-11-03,9097.38,9198.43564334718
W105,2013-11-10,9109.48,9191.259636534563
W105,2013-11-17,9061.98,9194.555055343457
W105,2013-11-24,9058.14,9209.730013994462
W105,2013-12-01,9033.5,9177.589312661154
W105,2013-12-08,9064.66,9190.955209877366
W105,2013-12-15,9038.48,9167.318602252079
W105,2013-12-22,9025.31,9159.10856612508
W105,2013-12-29,9001.11,9130.18270653123
W106,1982-05-09,2162.966,2152.3470821501082
W106,1982-05-16,2167.806,2141.512286195213
W106,1982-05-23,2153.199,2142.3410349954984
W106,1982-05-30,2154.003,2161.757646898297
W106,1982-06-06,2164.848,2166.8908111652913
W106,1982-06-13,2171.359,2158.6045845807403
W106,1982-06-20,2157.906,2151.7903125387534
W106,1982-06-27,2154.995,2156.47379319256
W106,1982-07-04,2160.496,2159.516736685519
W106,1982-07-11,2165.439,2155.421263671555
W106,1982-07-18,2154.43,2146.679750984637
W106,1982-07-25,2155.905,2145.255063103913
W106,1982-08-01,2159.078,2155.7571650843715
W107,2013-10-06,24019.73,23884.509714013522
