unique_id,ds,y,y_hat_naive2
H1,1970-01-30 04:00:00,619.0,620.1734949864463
H1,1970-01-30 05:00:00,565.0,555.3455926203898
H1,1970-01-30 06:00:00,532.0,510.35090781917967
H1,1970-01-30 07:00:00,495.0,477.5931603886716
H1,1970-01-30 08:00:00,481.0,456.2823993229205
H1,1970-01-30 09:00:00,467.0,442.50530436788074
H1,1970-01-30 10:00:00,473.0,441.5903341280269
H1,1970-01-30 11:00:00,488.0,452.1229440402209
H1,1970-01-30 12:00:00,501.0,464.30989919754273
H1,1970-01-30 13:00:00,534.0,502.674544986246
H1,1970-01-30 14:00:00,576.0,561.3786124500399
H1,1970-01-30 15:00:00,639.0,629.2626672766932
H1,1970-01-30 16:00:00,712.0,695.3280041054883
H1,1970-01-30 17:00:00,772.0,748.8696219446891
H1,1970-01-30 18:00:00,830.0,788.0515585412505
H1,1970-01-30 19:00:00,880.0,814.2801961924262
H1,1970-01-30 20:00:00,893.0,827.3529347464071
H1,1970-01-30 21:00:00,896.0,831.8158372337151
H1,1970-01-30 22:00:00,891.0,831.111325431385
H1,1970-01-30 23:00:00,854.0,818.9708343985503
H1,1970-01-31 00:00:00,803.0,790.8010799265458
H1,1970-01-31 01:00:00,769.0,751.2904775289227
H1,1970-01-31 02:00:00,751.0,734.2298890602624
H1,1970-01-31 03:00:00,701.0,684.0
H1,1970-01-31 04:00:00,635.0,620.1734949864463
H1,1970-01-31 05:00:00,572.0,555.3455926203898
H1,1970-01-31 06:00:00,532.0,510.35090781917967
H1,1970-01-31 07:00:00,493.0,477.5931603886716
H1,1970-01-31 08:00:00,477.0,456.2823993229205
H1,1970-01-31 09:00:00,468.0,442.50530436788074
H1,1970-01-31 10:00:00,464.0,441.5903341280269
H1,1970-01-31 11:00:00,477.0,452.1229440402209
H1,1970-01-31 12:00:00,492.0,464.30989919754273
H1,1970-01-31 13:00:00,519.0,502.674544986246
H1,1970-01-31 14:00:00,568.0,561.3786124500399
H1,1970-01-31 15:00:00,624.0,629.2626672766932
H1,1970-01-31 16:00:00,696.0,695.3280041054883
H1,1970-01-31 17:00:00,761.0,748.8696219446891
H1,1970-01-31 18:00:00,812.0,788.0515585412505
H1,1970-01-31 19:00:00,836.0,814.2801961924262
H1,1970-01-31 20:00:00,838.0,827.3529347464071
H1,1970-01-31 21:00:00,829.0,831.8158372337151
H1,1970-01-31 22:00:00,807.0,831.111325431385
H1,1970-01-31 23:00:00,785.0,818.9708343985503
H1,1970-02-01 00:00:00,756.0,790.8010799265458
H1,1970-02-01 01:00:00,719.0,751.2904775289227
H1,1970-02-01 02:00:00,703.0,734.2298890602624
H1,1970-02-01 03:00:00,659.0,684.0
H10,1970-01-30 04:00:00,464.0,466.51217375153215
H10,1970-01-30 05:00:00,452.0,460.35452242259385
H10,1970-01-30 06:00:00,439.0,447.07356914672687
H10,1970-01-30 07:00:00,418.0,430.261668948259
H10,1970-01-30 08:00:00,402.0,417.68470438849863
H10,1970-01-30 09:00:00,399.0,410.3036216459863
H10,1970-01-30 10:00:00,396.0,404.9057627280887
H10,1970-01-30 11:00:00,390.0,404.2926074966366
H10,1970-01-30 12:00:00,395.0,403.5034353977194
H10,1970-01-30 13:00:00,399.0,406.5493645783579
H10,1970-01-30 14:00:00,407.0,420.4956082879647
H10,1970-01-30 15:00:00,411.0,429.544395692405
H10,1970-01-30 16:00:00,428.0,440.7554238597563
H10,1970-01-30 17:00:00,439.0,447.86489024760147
H10,1970-01-30 18:00:00,450.0,458.2175396714351
H10,1970-01-30 19:00:00,457.0,467.258235933046
H10,1970-01-30 20:00:00,456.0,472.35223163516844
H10,1970-01-30 21:00:00,456.0,476.02655939616693
H10,1970-01-30 22:00:00,485.0,477.27724823081945
H10,1970-01-30 23:00:00,490.0,483.01818948244653
H10,1970-01-31 00:00:00,498.0,485.66647229679364
H10,1970-01-31 01:00:00,495.0,486.42559220962886
H10,1970-01-31 02:00:00,496.0,481.4641591408222
H10,1970-01-31 03:00:00,487.0,474.99999999999994
H10,1970-01-31 04:00:00,478.0,466.51217375153215
H10,1970-01-31 05:00:00,468.0,460.35452242259385
H10,1970-01-31 06:00:00,448.0,447.07356914672687
H10,1970-01-31 07:00:00,432.0,430.261668948259
