unique_id,ds,y,y_hat_naive2
M1,2009-02-28,8720.0,7316.617607998528
M1,2009-03-31,7790.0,7246.329260920669
M1,2009-04-30,4770.0,6294.279693273115
M1,2009-05-31,5060.0,5918.049712158336
M1,2009-06-30,4720.0,5562.812279664467
M1,2009-07-31,4450.0,5312.058640141807
M1,2009-08-31,5120.0,6050.325155351178
M1,2009-09-30,5960.0,5599.34916011777
M1,2009-10-31,6560.0,5473.832438818213
M1,2009-11-30,4900.0,5023.564209874672
M1,2009-12-31,4520.0,5364.939688590435
M1,2010-01-31,7370.0,6890.0
M1,2010-02-28,9050.0,7316.617607998528
M1,2010-03-31,7780.0,7246.329260920669
M1,2010-04-30,5380.0,6294.279693273115
M1,2010-05-31,4700.0,5918.049712158336
M1,2010-06-30,4490.0,5562.812279664467
M1,2010-07-31,4010.0,5312.058640141807
M10,2000-07-31,6560.0,6599.863702336639
M10,2000-08-31,6490.0,6639.753419632181
M10,2000-09-30,6390.0,6625.382457889424
M10,2000-10-31,6340.0,6608.368068933936
M10,2000-11-30,6210.0,6626.981318362489
M10,2000-12-31,6070.0,6667.82102159796
M10,2001-01-31,5890.0,6631.516037968618
M10,2001-02-28,5720.0,6607.735682247926
M10,2001-03-31,5630.0,6622.171102460453
M10,2001-04-30,5530.0,6612.4743482408285
M10,2001-05-31,5370.0,6634.803728922944
M10,2001-06-30,5330.0,6630.0
M10,2001-07-31,5260.0,6599.863702336639
M10,2001-08-31,5310.0,6639.753419632181
M10,2001-09-30,5280.0,6625.382457889424
M10,2001-10-31,5350.0,6608.368068933936
M10,2001-11-30,5450.0,6626.981318362489
M10,2001-12-31,5450.0,6667.82102159796
M100,1994-05-31,2211.2,2180.6748960641307
M100,1994-06-30,2262.5,2196.689215855785
M100,1994-07-31,2247.3,2193.288984691801
M100,1994-08-31,2236.2,2188.566998032166
M100,1994-09-30,2246.4,2184.492603395395
M100,1994-10-31,2219.2,2176.694948713606
M100,1994-11-30,2219.0,2169.5985841042434
M100,1994-12-31,2222.2,2160.2631608892416
M100,1995-01-31,2218.0,2152.7741793522537
M100,1995-02-28,2203.8,2143.923763986275
M100,1995-03-31,2231.2,2157.7752727389
M100,1995-04-30,2275.2,2167.0
M100,1995-05-31,2299.2,2180.6748960641307
M100,1995-06-30,2312.5,2196.689215855785
M100,1995-07-31,2327.1,2193.288984691801
M100,1995-08-31,2332.6,2188.566998032166
M100,1995-09-30,2321.6,2184.492603395395
M100,1995-10-31,2331.9,2176.694948713606
M1000,1997-07-31,1260.0,1385.5829026985189
M1000,1997-08-31,1060.0,1412.531164525489
M1000,1997-09-30,940.0,1206.894721720655
M1000,1997-10-31,1010.0,1250.8836642973663
M1000,1997-11-30,1030.0,1049.9766553775362
M1000,1997-12-31,1060.0,1139.7530005608057
M1000,1998-01-31,990.0,1142.5781267882521
M1000,1998-02-28,1140.0,1141.6031729426281
M1000,1998-03-31,1200.0,1427.2316520333832
M1000,1998-04-30,1370.0,1336.7118273748995
M1000,1998-05-31,1200.0,1341.430780809765
M1000,1998-06-30,1430.0,1430.0
M1000,1998-07-31,1050.0,1385.5829026985189
M1000,1998-08-31,1510.0,1412.531164525489
M1000,1998-09-30,1240.0,1206.894721720655
M1000,1998-10-31,980.0,1250.8836642973663
M1000,1998-11-30,1100.0,1049.9766553775362
M1000,1998-12-31,1280.0,1139.7530005608057
M1001,1995-07-31,2130.0,2074.546885881525
M1001,1995-08-31,2310.0,2168.5415213252427
M1001,1995-09-30,2350.0,2273.2803358939973
M1001,1995-10-31,2400.0,2297.7719824843934
M1001,1995-11-30,2430.0,2302.953638676409
M1001,1995-12-31,2430.0,2293.253312490557
M1001,1996-01-31,2380.0,2271.4516450229976
M1001,1996-02-29,2410.0,2299.2046563259105
M1001,1996-03-31,2400.0,2309.9463974944338
M1001,1996-04-30,2400.0,2291.3236323830374
M1001,1996-05-31,2410.0,2284.902144313309
M1001,1996-06-30,2170.0,2150.0
M1001,1996-07-31,2150.0,2074.546885881525
M1001,1996-08-31,2340.0,2168.5415213252427
M1001,1996-09-30,2370.0,2273.2803358939973
M1001,1996-10-31,2430.0,2297.7719824843934
M1001,1996-11-30,2440.0,2302.953638676409
M1001,1996-12-31,2440.0,2293.253312490557
M1002,1995-07-31,2980.0,2951.753632611207
M1002,1995-08-31,2940.0,2913.3473418374147
M1002,1995-09-30,2870.0,2837.3012512455252
M1002,1995-10-31,2860.0,2797.7675274042335
M1002,1995-11-30,2850.0,2781.6362504597323
M1002,1995-12-31,2840.0,2777.4711968000383
M1002,1996-01-31,2840.0,2793.8537486470204
M1002,1996-02-29,2970.0,2954.3422294301804
M1002,1996-03-31,3010.0,3035.7976684573587
M1002,1996-04-30,2980.0,2994.566600711406
M1002,1996-05-31,2980.0,2973.5137061094815
M1002,1996-06-30,2960.0,2970.0
M1002,1996-07-31,2940.0,2951.753632611207
M1002,1996-08-31,2930.0,2913.3473418374147
M1002,1996-09-30,2900.0,2837.3012512455252
M1002,1996-10-31,2910.0,2797.7675274042335
M1002,1996-11-30,2900.0,2781.6362504597323
M1002,1996-12-31,2880.0,2777.4711968000383
M1003,1995-07-31,1855.0,1835.7831236771879
M1003,1995-08-31,1876.0,1845.1559713113816
M1003,1995-09-30,1881.0,1855.90942359304
M1003,1995-10-31,1898.0,1859.3363278083584
M1003,1995-11-30,1917.0,1867.4860999335071
M1003,1995-12-31,1926.0,1871.7720956342755
M1003,1996-01-31,1908.0,1846.3930299348092
M1003,1996-02-29,1932.0,1880.373978511575
M1003,1996-03-31,1946.0,1891.0354117285076
M1003,1996-04-30,1956.0,1881.8763527681774
M1003,1996-05-31,1962.0,1875.4988852432712
M1003,1996-06-30,1938.0,1857.0000000000002
M1003,1996-07-31,1931.0,1835.7831236771879
M1003,1996-08-31,1967.0,1845.1559713113816
M1003,1996-09-30,1971.0,1855.90942359304
M1003,1996-10-31,1989.0,1859.3363278083584
M1003,1996-11-30,2002.0,1867.4860999335071
M1003,1996-12-31,1993.0,1871.7720956342755
M1004,1995-07-31,11070.0,10867.61422756215
M1004,1995-08-31,10980.0,10830.95859582787
M1004,1995-09-30,10740.0,10653.502608013485
M1004,1995-10-31,10630.0,10495.559764760494
M1004,1995-11-30,10610.0,10445.002119091198
M1004,1995-12-31,10550.0,10413.817509197323
M1004,1996-01-31,10340.0,10256.51253023095
M1004,1996-02-29,10420.0,10340.318521648758
M1004,1996-03-31,10710.0,10613.061882525488
M1004,1996-04-30,10860.0,10741.895551517766
M1004,1996-05-31,11030.0,10877.1583612319
M1004,1996-06-30,11120.0,10990.0
M1004,1996-07-31,11140.0,10867.61422756215
M1004,1996-08-31,11040.0,10830.95859582787
M1004,1996-09-30,10810.0,10653.502608013485
M1004,1996-10-31,10760.0,10495.559764760494
M1004,1996-11-30,10690.0,10445.002119091198
M1004,1996-12-31,10590.0,10413.817509197323
M1005,1995-07-31,3900.0,3857.9409174277985
M1005,1995-08-31,3900.0,3897.8389505274877
M1005,1995-09-30,4310.0,4172.996788995305
M1005,1995-10-31,4370.0,4268.3109018626865
M1005,1995-11-30,4360.0,4286.9196822666245
M1005,1995-12-31,4260.0,4219.010949797592
M1005,1996-01-31,4240.0,4165.714057765256
M1005,1996-02-29,4330.0,4265.190395796939
M1005,1996-03-31,4370.0,4264.785500137408
M1005,1996-04-30,4350.0,4267.3970728471
M1005,1996-05-31,4170.0,4206.740498753728
M1005,1996-06-30,3870.0,3869.9999999999995
M1005,1996-07-31,3890.0,3857.9409174277985
M1005,1996-08-31,3910.0,3897.8389505274877
M1005,1996-09-30,4340.0,4172.996788995305
M1005,1996-10-31,4370.0,4268.3109018626865
M1005,1996-11-30,4330.0,4286.9196822666245
M1005,1996-12-31,4300.0,4219.010949797592
M1006,1995-07-31,1306.0,1285.8726783090403
M1006,1995-08-31,1313.0,1298.6585232346458
M1006,1995-09-30,1369.0,1336.7325881709348
M1006,1995-10-31,1386.0,1345.1485852764438
M1006,1995-11-30,1390.0,1352.8483993538177
M1006,1995-12-31,1379.0,1346.6738259176545
M1006,1996-01-31,1362.0,1322.0822897807068
M1006,1996-02-29,1377.0,1337.343087158851
M1006,1996-03-31,1385.0,1341.386873723589
M1006,1996-04-30,1387.0,1342.0052955214292
M1006,1996-05-31,1361.0,1331.5838376331947
M1006,1996-06-30,1333.0,1295.0
