unique_id,ds,y,y_hat_naive2
W1,2011-10-09,35397.16,35347.12788791206
W1,2011-10-16,35808.59,35476.26610856706
W1,2011-10-23,35808.59,35430.0780773805
W1,2011-10-30,36246.14,35790.659198338224
W1,2011-11-06,36246.14,35785.354208349694
W1,2011-11-13,36403.7,35895.23738852195
W1,2011-11-20,36403.7,35792.68796689988
W1,2011-11-27,36150.2,36002.67006540158
W1,2011-12-04,36150.2,35879.819661284935
W1,2011-12-11,35790.55,35638.505295052855
W1,2011-12-18,35790.55,35554.767687781896
W1,2011-12-25,34066.95,35078.977562404776
W1,2012-01-01,34066.95,35085.286820311856
W10,1987-11-29,5122.14,5095.5225021761025
W10,1987-12-06,5104.68,5229.217952787067
W10,1987-12-13,5104.68,5249.194564288655
W10,1987-12-20,5104.68,5437.886470796941
W10,1987-12-27,5565.7,5405.980678518663
W10,1988-01-03,5565.7,5385.218653496084
W10,1988-01-10,5565.7,5368.485124478321
W10,1988-01-17,5565.7,5430.144168721227
W10,1988-01-24,5565.7,5403.884331274301
W10,1988-01-31,5544.94,5317.239655090498
W10,1988-02-07,5544.94,5244.128847317749
W10,1988-02-14,5544.94,5315.157372217646
W10,1988-02-21,5544.94,5303.967129835785
W100,2013-10-06,11474.49,11322.543608432989
W100,2013-10-13,11875.5,11368.502320884216
W100,2013-10-20,11517.02,11336.365312724574
W100,2013-10-27,11305.8,11333.733352590696
W100,2013-11-03,11423.14,11328.416661962248
W100,2013-11-10,11647.5,11338.463608673304
W100,2013-11-17,11632.38,11300.712829179889
W100,2013-11-24,11729.89,11324.45759874602
W100,2013-12-01,11679.04,11239.822730053918
W100,2013-12-08,11740.51,11200.573024068855
W100,2013-12-15,11934.32,11240.311970347517
W100,2013-12-22,11741.1,11241.581908826678
W100,2013-12-29,11634.37,11194.472824505725
W101,1977-04-10,9871.498,9784.623
W101,1977-04-17,9910.685,9784.623
W101,1977-04-24,9815.305,9784.623
W101,1977-05-01,9808.646999999999,9784.623
W101,1977-05-08,9900.756,9784.623
W101,1977-05-15,9934.128,9784.623
W101,1977-05-22,9974.544,9784.623
W101,1977-05-29,9905.89,9784.623
W101,1977-06-05,9965.28,9784.623
W101,1977-06-12,9989.549,9784.623
W101,1977-06-19,10064.652,9784.623
W101,1977-06-26,10007.292,9784.623
W101,1977-07-03,10082.468,9784.623
W102,2013-10-06,16004.79,15884.430007490057
W102,2013-10-13,15859.41,15966.522063421557
W102,2013-10-20,15729.3,15933.220832671524
W102,2013-10-27,15616.87,15977.252887863384
W102,2013-11-03,15749.81,15992.305608550027
W102,2013-11-10,15642.21,16121.806319984104
W102,2013-11-17,15716.89,16069.311925827946
W102,2013-11-24,15789.79,16136.722427912717
W102,2013-12-01,15961.13,16101.640884746634
W102,2013-12-08,15986.34,15964.692079514558
W102,2013-12-15,15871.65,15925.769384262812
W102,2013-12-22,15813.95,15828.189405567176
W102,2013-12-29,15743.94,15787.887944481907
W103,2013-10-06,4153.94,4094.1994055172163
W103,2013-10-13,4375.42,4096.787519663667
W103,2013-10-20,4063.47,4108.7583063367765
W103,2013-10-27,3975.35,4107.484292319962
W103,2013-11-03,4202.22,4112.198428726319
W103,2013-11-10,4212.67,4091.063139088177
W103,2013-11-17,4171.08,4056.4957157324325
W103,2013-11-24,4025.43,4045.7071695635245
W103,2013-12-01,4260.1,4021.9744388957006
W103,2013-12-08,4159.33,4006.4668985653066
W103,2013-12-15,4272.43,3974.6178723932435
W103,2013-12-22,3968.74,3992.9725534201334
W103,2013-12-29,3905.78,3984.6104823299916
W104,1977-04-10,1026.84,1029.99
W104,1977-04-17,1019.01,1029.99
W104,1977-04-24,1009.31,1029.99
W104,1977-05-01,1003.54,1029.99
W104,1977-05-08,1007.61,1029.99
W104,1977-05-15,1004.8,1029.99
W104,1977-05-22,998.68,1029.99
W104,1977-05-29,991.28,1029.99
W104,1977-06-05,991.98,1029.99
W104,1977-06-12,988.73,1029.99
W104,1977-06-19,979.2,1029.99
W104,1977-06-26,976.82,1029.99
W104,1977-07-03,968.28,1029.99
W105,2013-10-06,9135.8,9167.107062525663
W105,2013-10-13,9155.8,9177.087078797362
W105,2013-10-20,9123.07,9194.339844098426
W105,2013-10-27,9168.48,9191.09792285053
W105,2013-11-03,9097.38,9198.43564334718
W105,2013-11-10,9109.48,9191.259636534563
W105,2013-11-17,9061.98,9194.555055343459
W105,2013-11-24,9058.14,9209.730013994462
W105,2013-12-01,9033.5,9177.589312661154
W105,2013-12-08,9064.66,9190.955209877366
W105,2013-12-15,9038.48,9167.318602252079
W105,2013-12-22,9025.31,9159.10856612508
W105,2013-12-29,9001.11,9130.182706531232
W106,1982-05-09,2162.966,2152.3470821501096
W106,1982-05-16,2167.806,2141.5122861952145
W106,1982-05-23,2153.199,2142.341034995499
W106,1982-05-30,2154.0029999999997,2161.7576468982984
W106,1982-06-06,2164.848,2166.8908111652922
W106,1982-06-13,2171.359,2158.604584580741
W106,1982-06-20,2157.906,2151.7903125387547
W106,1982-06-27,2154.995,2156.4737931925615
W106,1982-07-04,2160.496,2159.5167366855203
W106,1982-07-11,2165.439,2155.4212636715556
W106,1982-07-18,2154.43,2146.679750984638
W106,1982-07-25,2155.905,2145.2550631039144
W106,1982-08-01,2159.078,2155.7571650843724
W107,2013-10-06,24019.73,23884.509714013515
W107,2013-10-13,23983.72,24015.13467303338
W107,2013-10-20,24168.42,24079.04557500946
W107,2013-10-27,24240.09,24128.35395024745
W107,2013-11-03,24481.23,24114.80393989842
W107,2013-11-10,24419.29,24086.83061305171
W107,2013-11-17,24441.25,24083.336089804285
W107,2013-11-24,24333.51,24062.653644986753
W107,2013-12-01,24398.35,23995.896798405214
W107,2013-12-08,24222.27,23980.396819249774
W107,2013-12-15,24359.23,24015.251225156535
W107,2013-12-22,24297.26,24030.271736595078
W107,2013-12-29,24345.73,24016.476210866298
W108,2013-10-06,15926.84,15918.247972046323
W108,2013-10-13,16078.017,15956.641885269688
W108,2013-10-20,15963.238000000001,15967.322361073773
W108,2013-10-27,15970.428,16002.854580421123
W108,2013-11-03,16056.811000000002,16013.199696037524
W108,2013-11-10,16086.341999999999,16061.67256131349
W108,2013-11-17,16092.328000000001,16058.573200762008
W108,2013-11-24,16042.098999999998,16095.60830330591
W108,2013-12-01,16027.739,16033.989794095285
W108,2013-12-08,16096.719,15987.684751751698
W108,2013-12-15,16115.75,15941.806671475684
W108,2013-12-22,15955.488000000001,15929.601224882477
W108,2013-12-29,15951.666000000001,15880.240503919504
W109,2013-10-06,14171.645,14155.96505461419
W109,2013-10-13,14318.713,14190.737780659587
W109,2013-10-20,14198.442,14200.824619019953
W109,2013-10-27,14206.103000000001,14241.943133559911
W109,2013-11-03,14300.423,14252.488549024105
W109,2013-11-10,14334.406,14308.310510854162
W109,2013-11-17,14340.354,14301.86462039248
W109,2013-11-24,14293.978000000001,14337.25300860537
W109,2013-12-01,14288.988000000001,14279.988679685706
W109,2013-12-08,14354.158000000001,14232.030449895474
W109,2013-12-15,14370.531,14188.170522049139
W109,2013-12-22,14207.81,14175.667469890834
W109,2013-12-29,14198.367,14133.122456234554
W11,1987-11-29,337.19,335.76237881167924
W11,1987-12-06,359.52,320.72189936565246
W11,1987-12-13,357.62,345.70375537441817
W11,1987-12-20,368.22,331.4112998452642
W11,1987-12-27,328.77,315.02248794132
W11,1988-01-03,391.31,316.23344428609306
W11,1988-01-10,340.06,304.9981544815024
W11,1988-01-17,323.19,311.9499137330445
W11,1988-01-24,323.3,306.5932888418476
W11,1988-01-31,339.94,310.84897840136404
W11,1988-02-07,316.45,307.1469387388955
W11,1988-02-14,295.99,307.65227255901095
W11,1988-02-21,280.07,305.5923891821813
W110,1977-04-10,7331.84,7314.83
W110,1977-04-17,7307.69,7314.83
W110,1977-04-24,7396.85,7314.83
W110,1977-05-01,7438.91,7314.83
W110,1977-05-08,7519.81,7314.83
W110,1977-05-15,7592.29,7314.83
W110,1977-05-22,7571.98,7314.83
W110,1977-05-29,7464.36,7314.83
W110,1977-06-05,7484.2,7314.83
W110,1977-06-12,7484.94,7314.83
W110,1977-06-19,7528.27,7314.83
W110,1977-06-26,7483.09,7314.83
W110,1977-07-03,7522.26,7314.83
W111,1977-04-10,1080.57,1070.19
W111,1977-04-17,1080.53,1070.19
W111,1977-04-24,1078.63,1070.19
W111,1977-05-01,1077.26,1070.19
W111,1977-05-08,1084.46,1070.19
W111,1977-05-15,1084.89,1070.19
W111,1977-05-22,1082.71,1070.19
W111,1977-05-29,1079.78,1070.19
W111,1977-06-05,1076.06,1070.19
W111,1977-06-12,1085.53,1070.19
W111,1977-06-19,1084.67,1070.19
W111,1977-06-26,1081.1,1070.19
W111,1977-07-03,1074.27,1070.19
W112,2013-10-06,9609.45,9486.42489188
W112,2013-10-13,9520.42,9505.03913887279
W112,2013-10-20,9512.01,9517.038106630718
W112,2013-10-27,9471.4,9533.037158691239
W112,2013-11-03,9562.31,9546.023651256237
W112,2013-11-10,9488.15,9579.460079855973
W112,2013-11-17,9556.86,9550.508334766351
W112,2013-11-24,9534.86,9568.770274765886
W112,2013-12-01,9647.41,9537.490704402024
W112,2013-12-08,9594.13,9507.560618951715
W112,2013-12-15,9576.58,9491.83025178239
W112,2013-12-22,9662.18,9459.577752887968
W112,2013-12-29,9644.83,9393.237382937914
W113,1990-01-07,754.7,732.4470428517948
W113,1990-01-14,766.1,743.6545211239587
W113,1990-01-21,766.27,734.3290955218318
W113,1990-01-28,714.66,738.6810728046886
W113,1990-02-04,682.99,733.9417043419554
W113,1990-02-11,700.3,741.3212662868416
W113,1990-02-18,763.74,718.1860515531976
W113,1990-02-25,747.68,720.1882180681476
W113,1990-03-04,742.31,726.5692220279172
W113,1990-03-11,717.41,740.9504759216767
W113,1990-03-18,712.44,733.914677778275
