unique_id,ds,y,y_hat_naive2
Q1,1976-06-30,6790.6436983268,6818.1667355648
Q1,1976-09-30,6598.9522020838,6818.1667355648
Q1,1976-12-31,6608.5271727941,6818.1667355648
Q1,1977-03-31,6765.914014296601,6818.1667355648
Q1,1977-06-30,6992.949003375699,6818.1667355648
Q1,1977-09-30,6931.539000000001,6818.1667355648
Q1,1977-12-31,7161.2408690999,6818.1667355648
Q1,1978-03-31,6981.3041052596,6818.1667355648
Q10,1984-12-31,2524.5,2570.103316370273
Q10,1985-03-31,2538.0,2547.467678462512
Q10,1985-06-30,2567.1,2558.162367309692
Q10,1985-09-30,2563.8,2555.3
Q10,1985-12-31,2562.0,2570.103316370273
Q10,1986-03-31,2551.1,2547.467678462512
Q10,1986-06-30,2569.9,2558.162367309692
Q10,1986-09-30,2581.8,2555.3
Q100,1985-12-31,6725.0,6895.648735465909
Q100,1986-03-31,6718.0,6809.8282471270295
Q100,1986-06-30,6710.0,6894.972262624439
Q100,1986-09-30,6690.0,6935.0
Q100,1986-12-31,6763.0,6895.648735465909
Q100,1987-03-31,6709.0,6809.8282471270295
Q100,1987-06-30,6655.0,6894.972262624439
Q100,1987-09-30,6689.0,6935.0
Q1000,1986-12-31,13933.2,13698.760649419763
Q1000,1987-03-31,14072.4,13916.54898216312
Q1000,1987-06-30,14231.2,13790.409155780673
Q1000,1987-09-30,14170.8,13837.599999999999
Q1000,1987-12-31,14690.0,13698.760649419763
Q1000,1988-03-31,14593.5,13916.54898216312
Q1000,1988-06-30,14784.8,13790.409155780673
Q1000,1988-09-30,14914.0,13837.599999999999
Q1001,1986-12-31,7542.48,7344.468621289482
Q1001,1987-03-31,7284.28,7434.695590826659
Q1001,1987-06-30,6781.04,7387.365389254059
Q1001,1987-09-30,6463.4,7400.8
Q1001,1987-12-31,5977.44,7344.468621289482
Q1001,1988-03-31,5844.32,7434.695590826659
Q1001,1988-06-30,5695.82,7387.365389254059
Q1001,1988-09-30,5578.68,7400.8
Q1002,1986-12-31,3611.12,3609.7002526481447
Q1002,1987-03-31,3592.44,3663.8553932582795
Q1002,1987-06-30,3634.16,3608.934224978991
Q1002,1987-09-30,3698.12,3600.8
Q1002,1987-12-31,3805.68,3609.7002526481447
Q1002,1988-03-31,3945.24,3663.8553932582795
Q1002,1988-06-30,3925.64,3608.934224978991
Q1002,1988-09-30,3971.79,3600.8
Q1003,1986-12-31,5759.16,5856.658971179037
Q1003,1987-03-31,5925.32,5870.324586756976
Q1003,1987-06-30,5982.72,5901.690073348707
Q1003,1987-09-30,6127.32,5872.76
Q1003,1987-12-31,6137.0,5856.658971179037
Q1003,1988-03-31,6183.99,5870.324586756976
Q1003,1988-06-30,6344.7,5901.690073348707
Q1003,1988-09-30,6413.93,5872.76
Q1004,1986-12-31,11636.44,12000.066316549177
Q1004,1987-03-31,12140.04,12242.63532923624
Q1004,1987-06-30,12284.96,12001.640953702274
Q1004,1987-09-30,12510.52,12071.44
Q1004,1987-12-31,12862.28,12000.066316549177
Q1004,1988-03-31,12673.39,12242.63532923624
Q1004,1988-06-30,13115.37,12001.640953702274
Q1004,1988-09-30,13307.73,12071.44
Q1005,1979-12-31,9034.0,8754.0
Q1005,1980-03-31,7523.0,8754.0
Q1005,1980-06-30,8112.0,8754.0
Q1005,1980-09-30,8817.0,8754.0
Q1005,1980-12-31,7587.0,8754.0
Q1005,1981-03-31,6917.0,8754.0
Q1005,1981-06-30,7704.0,8754.0
Q1005,1981-09-30,7687.0,8754.0
Q1006,1979-12-31,7840.0,7658.111770261511
Q1006,1980-03-31,7790.0,7708.759553116471
Q1006,1980-06-30,7910.0,7717.144795708814
Q1006,1980-09-30,7900.0,7730.0
Q1006,1980-12-31,7980.0,7658.111770261511
Q1006,1981-03-31,8070.0,7708.759553116471
Q1006,1981-06-30,8040.0,7717.144795708814
Q1006,1981-09-30,7930.0,7730.0
Q1007,1986-12-31,2262.24,2226.7804064591755
Q1007,1987-03-31,2238.42,2210.275569968182
Q1007,1987-06-30,2260.868,2212.159774898099
Q1007,1987-09-30,2285.36,2217.552
Q1007,1987-12-31,2310.34,2226.7804064591755
Q1007,1988-03-31,2322.5460000000003,2210.275569968182
Q1007,1988-06-30,2343.291,2212.159774898099
Q1007,1988-09-30,2380.1910000000003,2217.552
Q1008,1979-12-31,1096.2,1083.7460183340543
Q1008,1980-03-31,1093.63,1085.369232453966
Q1008,1980-06-30,1104.98,1084.1889371079126
